tanggal;pm10;so2;co;o3;no2;max;critical;categori
01/01/2010;60.0;4.0;73.0;27.0;14.0;73.0;CO;SEDANG
02/01/2010;32.0;2.0;16.0;33.0;9.0;33.0;O3;BAIK
03/01/2010;27.0;2.0;19.0;20.0;9.0;27.0;PM10;BAIK
04/01/2010;22.0;2.0;16.0;15.0;6.0;22.0;PM10;BAIK
05/01/2010;25.0;2.0;17.0;15.0;8.0;25.0;PM10;BAIK
06/01/2010;30.0;3.0;22.0;19.0;11.0;30.0;PM10;BAIK
07/01/2010;41.0;4.0;24.0;27.0;13.0;41.0;PM10;BAIK
08/01/2010;64.0;8.0;51.0;19.0;15.0;64.0;PM10;SEDANG
09/01/2010;55.0;5.0;39.0;23.0;16.0;55.0;PM10;SEDANG
10/01/2010;34.0;5.0;23.0;26.0;12.0;34.0;PM10;BAIK
11/01/2010;55.0;10.0;32.0;23.0;16.0;55.0;PM10;SEDANG
12/01/2010;45.0;4.0;33.0;9.0;17.0;45.0;PM10;BAIK
13/01/2010;28.0;5.0;29.0;10.0;12.0;29.0;CO;BAIK
14/01/2010;38.0;6.0;28.0;15.0;10.0;38.0;PM10;BAIK
15/01/2010;35.0;5.0;33.0;17.0;17.0;35.0;PM10;BAIK
16/01/2010;54.0;5.0;38.0;17.0;18.0;54.0;PM10;SEDANG
17/01/2010;44.0;4.0;28.0;22.0;14.0;44.0;PM10;BAIK
18/01/2010;38.0;4.0;29.0;24.0;15.0;38.0;PM10;BAIK
19/01/2010;40.0;3.0;43.0;23.0;23.0;43.0;CO;BAIK
20/01/2010;61.0;5.0;63.0;16.0;17.0;63.0;CO;SEDANG
21/01/2010;36.0;4.0;27.0;23.0;13.0;36.0;PM10;BAIK
22/01/2010;51.0;4.0;45.0;14.0;13.0;51.0;PM10;SEDANG
23/01/2010;35.0;3.0;30.0;20.0;14.0;35.0;PM10;BAIK
24/01/2010;56.0;6.0;46.0;30.0;14.0;56.0;PM10;SEDANG
25/01/2010;59.0;4.0;38.0;18.0;15.0;59.0;PM10;SEDANG
26/01/2010;43.0;5.0;42.0;19.0;24.0;43.0;PM10;BAIK
27/01/2010;54.0;8.0;38.0;40.0;16.0;54.0;PM10;SEDANG
28/01/2010;72.0;8.0;55.0;20.0;17.0;72.0;PM10;SEDANG
29/01/2010;51.0;8.0;24.0;19.0;11.0;51.0;PM10;SEDANG
30/01/2010;47.0;8.0;32.0;19.0;12.0;47.0;PM10;BAIK
31/01/2010;32.0;5.0;25.0;26.0;10.0;32.0;PM10;BAIK
01/02/2010;41.0;7.0;30.0;17.0;13.0;41.0;PM10;BAIK
02/02/2010;50.0;4.0;30.0;23.0;12.0;50.0;PM10;BAIK
03/02/2010;49.0;7.0;33.0;57.0;23.0;57.0;O3;SEDANG
04/02/2010;59.0;9.0;38.0;75.0;26.0;75.0;O3;SEDANG
05/02/2010;63.0;7.0;39.0;41.0;23.0;63.0;PM10;SEDANG
06/02/2010;65.0;8.0;59.0;24.0;15.0;65.0;PM10;SEDANG
07/02/2010;60.0;10.0;45.0;47.0;17.0;60.0;PM10;SEDANG
08/02/2010;46.0;5.0;31.0;42.0;17.0;46.0;PM10;BAIK
09/02/2010;52.0;7.0;30.0;34.0;16.0;52.0;PM10;SEDANG
10/02/2010;50.0;8.0;31.0;39.0;14.0;50.0;PM10;BAIK
11/02/2010;47.0;5.0;27.0;26.0;14.0;47.0;PM10;BAIK
12/02/2010;56.0;6.0;33.0;45.0;20.0;56.0;PM10;SEDANG
13/02/2010;55.0;6.0;39.0;14.0;14.0;55.0;PM10;SEDANG
14/02/2010;55.0;6.0;61.0;16.0;13.0;61.0;CO;SEDANG
15/02/2010;40.0;4.0;30.0;63.0;22.0;63.0;O3;SEDANG
16/02/2010;56.0;4.0;43.0;25.0;20.0;56.0;PM10;SEDANG
17/02/2010;52.0;4.0;34.0;30.0;17.0;52.0;PM10;SEDANG
18/02/2010;41.0;5.0;26.0;14.0;10.0;41.0;PM10;BAIK
19/02/2010;37.0;4.0;43.0;17.0;17.0;43.0;CO;BAIK
20/02/2010;52.0;3.0;64.0;18.0;12.0;64.0;CO;SEDANG
21/02/2010;61.0;4.0;53.0;36.0;15.0;61.0;PM10;SEDANG
22/02/2010;34.0;4.0;31.0;23.0;16.0;34.0;PM10;BAIK
23/02/2010;57.0;7.0;35.0;42.0;18.0;57.0;PM10;SEDANG
24/02/2010;59.0;4.0;44.0;93.0;24.0;93.0;O3;SEDANG
25/02/2010;65.0;6.0;55.0;26.0;26.0;65.0;PM10;SEDANG
26/02/2010;68.0;9.0;67.0;67.0;22.0;68.0;PM10;SEDANG
27/02/2010;67.0;8.0;47.0;47.0;19.0;67.0;PM10;SEDANG
28/02/2010;65.0;6.0;38.0;80.0;23.0;80.0;O3;SEDANG
01/03/2010;60.0;5.0;39.0;44.0;19.0;60.0;PM10;SEDANG
02/03/2010;74.0;8.0;56.0;68.0;27.0;74.0;PM10;SEDANG
03/03/2010;54.0;12.0;35.0;77.0;25.0;77.0;O3;SEDANG
04/03/2010;59.0;9.0;32.0;62.0;20.0;62.0;O3;SEDANG
05/03/2010;62.0;11.0;35.0;31.0;19.0;62.0;PM10;SEDANG
06/03/2010;72.0;10.0;54.0;43.0;23.0;72.0;PM10;SEDANG
07/03/2010;59.0;7.0;46.0;57.0;19.0;59.0;PM10;SEDANG
08/03/2010;56.0;7.0;37.0;39.0;18.0;56.0;PM10;SEDANG
09/03/2010;45.0;5.0;33.0;27.0;15.0;45.0;PM10;BAIK
10/03/2010;44.0;8.0;37.0;41.0;19.0;44.0;PM10;BAIK
11/03/2010;51.0;6.0;37.0;18.0;14.0;51.0;PM10;SEDANG
12/03/2010;43.0;6.0;42.0;39.0;20.0;43.0;PM10;BAIK
13/03/2010;74.0;9.0;46.0;64.0;16.0;74.0;PM10;SEDANG
14/03/2010;61.0;9.0;27.0;27.0;13.0;61.0;PM10;SEDANG
15/03/2010;52.0;8.0;28.0;30.0;15.0;52.0;PM10;SEDANG
16/03/2010;40.0;5.0;25.0;45.0;13.0;45.0;O3;BAIK
17/03/2010;50.0;8.0;30.0;25.0;15.0;50.0;PM10;BAIK
18/03/2010;58.0;10.0;33.0;23.0;15.0;58.0;PM10;SEDANG
19/03/2010;63.0;10.0;44.0;36.0;18.0;63.0;PM10;SEDANG
20/03/2010;54.0;11.0;29.0;66.0;19.0;66.0;O3;SEDANG
21/03/2010;52.0;7.0;33.0;31.0;16.0;52.0;PM10;SEDANG
22/03/2010;37.0;5.0;22.0;15.0;10.0;37.0;PM10;BAIK
23/03/2010;52.0;9.0;44.0;42.0;29.0;52.0;PM10;SEDANG
24/03/2010;;7.0;41.0;99.0;29.0;99.0;O3;SEDANG
25/03/2010;55.0;9.0;33.0;46.0;20.0;55.0;PM10;SEDANG
26/03/2010;48.0;4.0;45.0;57.0;29.0;57.0;O3;SEDANG
27/03/2010;61.0;18.0;41.0;59.0;16.0;61.0;PM10;SEDANG
28/03/2010;56.0;4.0;44.0;45.0;13.0;56.0;PM10;SEDANG
29/03/2010;50.0;2.0;34.0;27.0;25.0;50.0;PM10;BAIK
30/03/2010;44.0;6.0;33.0;;12.0;44.0;PM10;BAIK
31/03/2010;58.0;5.0;57.0;;14.0;58.0;PM10;SEDANG
01/04/2010;59.0;5.0;46.0;;21.0;59.0;PM10;SEDANG
02/04/2010;57.0;4.0;31.0;88.0;18.0;88.0;O3;SEDANG
03/04/2010;37.0;4.0;18.0;;10.0;37.0;PM10;BAIK
04/04/2010;39.0;;29.0;;10.0;39.0;PM10;BAIK
05/04/2010;63.0;7.0;50.0;;22.0;63.0;PM10;SEDANG
06/04/2010;70.0;9.0;52.0;;27.0;70.0;PM10;SEDANG
07/04/2010;70.0;14.0;42.0;62.0;25.0;70.0;PM10;SEDANG
08/04/2010;65.0;15.0;54.0;102.0;27.0;102.0;O3;TIDAK SEHAT
09/04/2010;59.0;12.0;46.0;27.0;15.0;59.0;PM10;SEDANG
10/04/2010;40.0;10.0;33.0;33.0;12.0;40.0;PM10;BAIK
11/04/2010;45.0;10.0;31.0;21.0;11.0;45.0;PM10;BAIK
12/04/2010;66.0;19.0;39.0;80.0;25.0;80.0;O3;SEDANG
13/04/2010;57.0;17.0;34.0;80.0;24.0;80.0;O3;SEDANG
14/04/2010;70.0;16.0;40.0;59.0;21.0;70.0;PM10;SEDANG
15/04/2010;70.0;13.0;57.0;41.0;19.0;70.0;PM10;SEDANG
16/04/2010;38.0;11.0;30.0;42.0;13.0;42.0;O3;BAIK
17/04/2010;38.0;10.0;26.0;28.0;12.0;38.0;PM10;BAIK
18/04/2010;36.0;9.0;22.0;27.0;10.0;36.0;PM10;BAIK
19/04/2010;36.0;;24.0;20.0;10.0;36.0;PM10;BAIK
20/04/2010;39.0;;27.0;24.0;12.0;39.0;PM10;BAIK
21/04/2010;41.0;;23.0;30.0;12.0;41.0;PM10;BAIK
22/04/2010;37.0;;34.0;25.0;14.0;37.0;PM10;BAIK
23/04/2010;29.0;;22.0;23.0;12.0;29.0;PM10;BAIK
24/04/2010;31.0;;28.0;36.0;12.0;36.0;O3;BAIK
25/04/2010;50.0;;26.0;55.0;29.0;55.0;O3;SEDANG
26/04/2010;58.0;;31.0;67.0;29.0;67.0;O3;SEDANG
27/04/2010;67.0;;30.0;52.0;18.0;67.0;PM10;SEDANG
28/04/2010;56.0;;26.0;30.0;15.0;56.0;PM10;SEDANG
29/04/2010;61.0;;34.0;61.0;26.0;61.0;PM10;SEDANG
30/04/2010;76.0;;42.0;42.0;24.0;76.0;PM10;SEDANG
01/05/2010;60.0;;24.0;28.0;10.0;60.0;PM10;SEDANG
02/05/2010;58.0;16.0;19.0;31.0;13.0;58.0;PM10;SEDANG
03/05/2010;60.0;16.0;29.0;73.0;18.0;73.0;O3;SEDANG
04/05/2010;53.0;13.0;27.0;31.0;16.0;53.0;PM10;SEDANG
05/05/2010;53.0;16.0;26.0;35.0;15.0;53.0;PM10;SEDANG
06/05/2010;53.0;19.0;25.0;21.0;11.0;53.0;PM10;SEDANG
07/05/2010;67.0;19.0;33.0;33.0;16.0;67.0;PM10;SEDANG
08/05/2010;57.0;16.0;24.0;26.0;9.0;57.0;PM10;SEDANG
09/05/2010;;16.0;28.0;51.0;16.0;51.0;O3;SEDANG
10/05/2010;;14.0;43.0;75.0;26.0;75.0;O3;SEDANG
11/05/2010;;14.0;42.0;60.0;24.0;60.0;O3;SEDANG
12/05/2010;61.0;12.0;50.0;32.0;19.0;61.0;PM10;SEDANG
13/05/2010;52.0;15.0;40.0;65.0;21.0;65.0;O3;SEDANG
14/05/2010;59.0;12.0;46.0;69.0;26.0;69.0;O3;SEDANG
15/05/2010;52.0;14.0;45.0;92.0;26.0;92.0;O3;SEDANG
16/05/2010;56.0;12.0;29.0;65.0;15.0;65.0;O3;SEDANG
17/05/2010;55.0;15.0;55.0;32.0;16.0;55.0;PM10;SEDANG
18/05/2010;57.0;17.0;45.0;50.0;25.0;57.0;PM10;SEDANG
19/05/2010;69.0;14.0;39.0;79.0;18.0;79.0;O3;SEDANG
20/05/2010;58.0;14.0;38.0;57.0;21.0;58.0;PM10;SEDANG
21/05/2010;53.0;14.0;37.0;60.0;18.0;60.0;O3;SEDANG
22/05/2010;63.0;16.0;50.0;54.0;21.0;63.0;PM10;SEDANG
23/05/2010;57.0;14.0;28.0;50.0;23.0;57.0;PM10;SEDANG
24/05/2010;54.0;15.0;37.0;42.0;21.0;54.0;PM10;SEDANG
25/05/2010;56.0;18.0;34.0;43.0;18.0;56.0;PM10;SEDANG
26/05/2010;55.0;15.0;41.0;123.0;34.0;123.0;O3;TIDAK SEHAT
