,index,tanggal,pm10,so2,co,o3,no2,max,critical,categori
0,175,25/06/2010,58.66666667,18.33333333,30,43,22.33333333,58.66666667,pm10,TIDAK ADA DATA
1,2366,24/06/2016,56,28.5,33.5,28.5,4,56,pm10,TIDAK ADA DATA
2,2278,28/03/2016,51,26,24.5,21,2,51,pm10,TIDAK ADA DATA
3,1893,9/3/2015,51,8.5,16,46,14.5,51,pm10,TIDAK ADA DATA
4,1853,28/01/2015,54.4,6.6,29.4,36.2,15.4,54.4,pm10,TIDAK ADA DATA
5,1852,27/01/2015,53.8,6.2,38.8,37.4,16.8,53.8,pm10,TIDAK ADA DATA
6,1851,26/01/2015,53.2,5.8,48.2,38.6,18.2,53.2,pm10,TIDAK ADA DATA
7,1850,25/01/2015,52.6,5.4,57.6,39.8,19.6,57.6,co,TIDAK ADA DATA
8,1748,15/10/2014,58.5,9,30.5,47.5,19.5,58.5,pm10,TIDAK ADA DATA
9,1742,9/10/2014,46.14285714,13.85714286,22.71428571,50.71428571,21.42857143,50.71428571,o3,TIDAK ADA DATA
10,1741,8/10/2014,47.28571429,13.71428571,23.42857143,50.42857143,20.85714286,50.42857143,o3,TIDAK ADA DATA
11,1740,7/10/2014,48.42857143,13.57142857,24.14285714,50.14285714,20.28571429,50.14285714,o3,TIDAK ADA DATA
12,1739,6/10/2014,49.57142857,13.42857143,24.85714286,49.85714286,19.71428571,49.85714286,o3,TIDAK ADA DATA
13,1738,5/10/2014,50.71428571,13.28571429,25.57142857,49.57142857,19.14285714,50.71428571,pm10,TIDAK ADA DATA
14,1737,4/10/2014,51.85714286,13.14285714,26.28571429,49.28571429,18.57142857,51.85714286,pm10,TIDAK ADA DATA
15,1437,8/12/2013,60,7,34,77.4,13.4,77.4,o3,TIDAK ADA DATA
16,1436,7/12/2013,63,7,35,78.8,13.8,78.8,o3,TIDAK ADA DATA
17,1435,6/12/2013,66,7,36,80.2,14.2,80.2,o3,TIDAK ADA DATA
18,1434,5/12/2013,69,7,37,81.6,14.6,81.6,o3,TIDAK ADA DATA
19,1410,11/11/2013,69.66666667,9.333333333,44.33333333,60.33333333,20.33333333,69.66666667,pm10,TIDAK ADA DATA
20,1409,10/11/2013,64.33333333,8.666666667,46.66666667,51.66666667,19.66666667,64.33333333,pm10,TIDAK ADA DATA
21,1256,10/6/2013,63,2,38.5,5,18,63,pm10,TIDAK ADA DATA
22,2542,17/12/2016,30.75,31,18,11.75,1.75,31,so2,TIDAK ADA DATA
23,2543,18/12/2016,27.5,31,18,12.5,1.5,31,so2,TIDAK ADA DATA
24,2544,19/12/2016,24.25,31,18,13.25,1.25,31,so2,TIDAK ADA DATA
25,2572,16/01/2017,26,30.66666667,17,16,1,30.66666667,so2,TIDAK ADA DATA
26,3642,22/12/2019,55.5,22.5,24,61,14,61,o3,TIDAK ADA DATA
27,3631,11/12/2019,57.66666667,21.5,19.33333333,49,13,57.66666667,pm10,TIDAK ADA DATA
28,3621,1/12/2019,54.5,19.5,16,60.5,11.5,60.5,o3,TIDAK ADA DATA
29,3617,27/11/2019,65.5,22.5,21,57,14.5,65.5,pm10,TIDAK ADA DATA
