,tanggal,pm10,so2,co,o3,no2,max,critical,categori
0,2010-01-01,60.0,4.0,73.0,27.0,14.0,73.0,CO,SEDANG
1,2010-01-02,41.0,7.0,30.0,17.0,13.0,41.0,PM10,BAIK
2,2010-01-03,60.0,5.0,39.0,44.0,19.0,60.0,PM10,SEDANG
3,2010-01-04,59.0,5.0,46.0,72.75,21.0,59.0,PM10,SEDANG
4,2010-01-05,60.0,15.5,24.0,28.0,10.0,60.0,PM10,SEDANG
5,2010-01-06,55.0,20.0,35.0,31.0,20.0,55.0,PM10,SEDANG
6,2010-01-07,55.0,21.0,25.0,27.0,12.0,55.0,PM10,SEDANG
7,2010-01-08,48.0,12.0,19.0,47.0,25.0,48.0,PM10,BAIK
8,2010-01-09,53.0,16.0,28.0,43.0,16.0,53.0,PM10,SEDANG
9,2010-01-10,54.0,17.0,32.0,100.0,23.0,100.0,O3,SEDANG
10,2010-01-11,36.0,13.0,24.0,30.5,11.0,36.0,pm10,BAIK
11,2010-01-12,28.0,17.0,26.0,29.0,12.0,29.0,O3,BAIK
12,2010-01-13,28.0,5.0,29.0,10.0,12.0,29.0,CO,BAIK
13,2010-01-14,38.0,6.0,28.0,15.0,10.0,38.0,PM10,BAIK
14,2010-01-15,35.0,5.0,33.0,17.0,17.0,35.0,PM10,BAIK
15,2010-01-16,54.0,5.0,38.0,17.0,18.0,54.0,PM10,SEDANG
16,2010-01-17,44.0,4.0,28.0,22.0,14.0,44.0,PM10,BAIK
17,2010-01-18,38.0,4.0,29.0,24.0,15.0,38.0,PM10,BAIK
18,2010-01-19,40.0,3.0,43.0,23.0,23.0,43.0,CO,BAIK
19,2010-01-20,61.0,5.0,63.0,16.0,17.0,63.0,CO,SEDANG
20,2010-01-21,36.0,4.0,27.0,23.0,13.0,36.0,PM10,BAIK
21,2010-01-22,51.0,4.0,45.0,14.0,13.0,51.0,PM10,SEDANG
22,2010-01-23,35.0,3.0,30.0,20.0,14.0,35.0,PM10,BAIK
23,2010-01-24,56.0,6.0,46.0,30.0,14.0,56.0,PM10,SEDANG
24,2010-01-25,59.0,4.0,38.0,18.0,15.0,59.0,PM10,SEDANG
25,2010-01-26,43.0,5.0,42.0,19.0,24.0,43.0,PM10,BAIK
26,2010-01-27,54.0,8.0,38.0,40.0,16.0,54.0,PM10,SEDANG
27,2010-01-28,72.0,8.0,55.0,20.0,17.0,72.0,PM10,SEDANG
28,2010-01-29,51.0,8.0,24.0,19.0,11.0,51.0,PM10,SEDANG
29,2010-01-30,47.0,8.0,32.0,19.0,12.0,47.0,PM10,BAIK
30,2010-01-31,32.0,5.0,25.0,26.0,10.0,32.0,PM10,BAIK
31,2010-02-01,32.0,2.0,16.0,33.0,9.0,33.0,O3,BAIK
32,2010-02-02,50.0,4.0,30.0,23.0,12.0,50.0,PM10,BAIK
33,2010-02-03,74.0,8.0,56.0,68.0,27.0,74.0,PM10,SEDANG
34,2010-02-04,57.0,4.0,31.0,88.0,18.0,88.0,O3,SEDANG
35,2010-02-05,58.0,16.0,19.0,31.0,13.0,58.0,PM10,SEDANG
36,2010-02-06,58.0,14.0,42.0,93.0,26.0,93.0,O3,SEDANG
37,2010-02-07,62.0,22.0,37.0,66.0,19.0,66.0,O3,SEDANG
38,2010-02-08,57.0,15.0,36.0,57.0,29.0,57.0,PM10,SEDANG
39,2010-02-09,56.0,17.0,35.0,44.0,23.0,56.0,PM10,SEDANG
40,2010-02-10,56.0,18.0,41.0,67.0,20.0,67.0,O3,SEDANG
41,2010-02-11,33.0,14.0,18.0,25.0,8.0,33.0,PM10,BAIK
42,2010-02-12,41.0,21.0,30.0,30.0,14.0,41.0,PM10,BAIK
43,2010-02-13,55.0,6.0,39.0,14.0,14.0,55.0,PM10,SEDANG
44,2010-02-14,55.0,6.0,61.0,16.0,13.0,61.0,CO,SEDANG
45,2010-02-15,40.0,4.0,30.0,63.0,22.0,63.0,O3,SEDANG
46,2010-02-16,56.0,4.0,43.0,25.0,20.0,56.0,PM10,SEDANG
47,2010-02-17,52.0,4.0,34.0,30.0,17.0,52.0,PM10,SEDANG
48,2010-02-18,41.0,5.0,26.0,14.0,10.0,41.0,PM10,BAIK
49,2010-02-19,37.0,4.0,43.0,17.0,17.0,43.0,CO,BAIK
50,2010-02-20,52.0,3.0,64.0,18.0,12.0,64.0,CO,SEDANG
51,2010-02-21,61.0,4.0,53.0,36.0,15.0,61.0,PM10,SEDANG
52,2010-02-22,34.0,4.0,31.0,23.0,16.0,34.0,PM10,BAIK
